azimuth,elevation,efficiency
12,40,0.610812787924953
12,41,0.613447428018177
12,42,0.61606150602033
12,43,0.618575093713929
12,44,0.620745274645327
12,45,0.623022175186911
12,46,0.625473469458429
12,47,0.627350036069299
12,48,0.629509140120013
12,49,0.631691207248502
12,50,0.633671113541891
12,51,0.635618550184437
12,52,0.637558376536811
12,53,0.639191013265917
12,54,0.640990587116611
12,55,0.642624268978505
12,56,0.644223914903923
12,57,0.646080624341569
12,58,0.647592151518876
12,59,0.649117943380986
12,60,0.650804043361654
12,61,0.652429226372909
12,62,0.653953344445104
12,63,0.655528305584631
12,64,0.656935240349536
12,65,0.658489959464321
12,66,0.660106300275814
12,67,0.661472877629141
